year,quarter,month,hour,transit_mode,borough,payment_method,records,station_complexes,ridership,transfers,transfer_share
2020,1,2,0,staten_island_railway,Staten Island,metrocard,1,1,3.0,0.0,0.0
2020,1,2,2,staten_island_railway,Staten Island,metrocard,1,1,1.0,0.0,0.0
2020,1,2,3,staten_island_railway,Staten Island,metrocard,1,1,1.0,0.0,0.0
2020,1,2,5,staten_island_railway,Staten Island,metrocard,1,1,2.0,0.0,0.0
2020,1,2,6,staten_island_railway,Staten Island,metrocard,1,1,4.0,0.0,0.0
2020,1,2,7,staten_island_railway,Staten Island,metrocard,1,1,2.0,0.0,0.0
2020,1,2,8,staten_island_railway,Staten Island,metrocard,2,1,3.0,0.0,0.0
2020,1,2,8,subway,Brooklyn,metrocard,164,26,5232.0,169.0,0.032301
2020,1,2,8,subway,Brooklyn,omny,1,1,4.0,0.0,0.0
2020,1,2,8,subway,Manhattan,metrocard,195,32,7800.0,163.0,0.020897
2020,1,2,8,subway,Manhattan,omny,22,22,242.0,1.0,0.004132
2020,1,2,8,subway,Queens,metrocard,58,9,2052.0,80.0,0.038986
2020,1,2,8,tram,Manhattan,metrocard,10,2,120.0,11.0,0.091667
2020,1,2,9,staten_island_railway,Staten Island,metrocard,2,2,3.0,0.0,0.0
2020,1,2,9,tram,Manhattan,metrocard,10,2,207.0,24.0,0.115942
2020,1,2,10,staten_island_railway,Staten Island,metrocard,2,1,3.0,0.0,0.0
2020,1,2,10,tram,Manhattan,metrocard,10,2,300.0,36.0,0.12
2020,1,2,11,staten_island_railway,Staten Island,metrocard,2,2,4.0,0.0,0.0
2020,1,2,13,staten_island_railway,Staten Island,metrocard,1,1,3.0,0.0,0.0
2020,1,2,14,staten_island_railway,Staten Island,metrocard,3,2,4.0,0.0,0.0
2020,1,2,15,staten_island_railway,Staten Island,metrocard,3,1,7.0,0.0,0.0
2020,1,2,16,staten_island_railway,Staten Island,metrocard,4,2,6.0,0.0,0.0
2020,1,2,17,staten_island_railway,Staten Island,metrocard,1,1,5.0,0.0,0.0
2020,1,2,19,staten_island_railway,Staten Island,metrocard,2,2,2.0,1.0,0.5
2020,1,2,21,staten_island_railway,Staten Island,metrocard,1,1,1.0,0.0,0.0
2020,1,2,23,staten_island_railway,Staten Island,metrocard,1,1,1.0,0.0,0.0
2020,2,5,12,staten_island_railway,Staten Island,metrocard,11,2,47.0,1.0,0.021277
2020,2,5,12,staten_island_railway,Staten Island,omny,1,1,1.0,0.0,0.0
2020,2,5,12,subway,Brooklyn,metrocard,189,30,1333.0,20.0,0.015004
2020,2,5,12,subway,Brooklyn,omny,8,8,26.0,0.0,0.0
2020,2,5,12,subway,Manhattan,metrocard,192,32,1656.0,6.0,0.003623
2020,2,5,12,subway,Manhattan,omny,20,20,81.0,0.0,0.0
2020,2,5,12,subway,Queens,metrocard,31,6,206.0,0.0,0.0
2020,2,5,12,tram,Manhattan,metrocard,9,2,82.0,3.0,0.036585
2020,2,5,13,staten_island_railway,Staten Island,metrocard,6,2,51.0,9.0,0.176471
2020,2,5,13,staten_island_railway,Staten Island,omny,1,1,1.0,0.0,0.0
2020,2,5,13,tram,Manhattan,metrocard,11,2,71.0,5.0,0.070423
2020,2,5,14,staten_island_railway,Staten Island,metrocard,10,2,49.0,1.0,0.020408
2020,2,5,14,staten_island_railway,Staten Island,omny,1,1,2.0,0.0,0.0
2020,2,5,14,tram,Manhattan,metrocard,10,2,101.0,4.0,0.039604
2020,3,8,17,staten_island_railway,Staten Island,metrocard,7,2,63.0,16.0,0.253968
2020,3,8,17,staten_island_railway,Staten Island,omny,1,1,3.0,0.0,0.0
2020,3,8,17,subway,Brooklyn,metrocard,179,33,2882.0,7.0,0.002429
2020,3,8,17,subway,Brooklyn,omny,11,11,166.0,0.0,0.0
2020,3,8,17,subway,Manhattan,metrocard,187,32,5309.0,15.0,0.002825
2020,3,8,17,subway,Manhattan,omny,28,28,750.0,0.0,0.0
2020,3,8,17,subway,Queens,metrocard,34,6,413.0,0.0,0.0
2020,3,8,17,subway,Queens,omny,1,1,19.0,0.0,0.0
2020,3,8,17,tram,Manhattan,metrocard,11,2,351.0,24.0,0.068376
2020,3,8,18,staten_island_railway,Staten Island,metrocard,7,2,57.0,20.0,0.350877
2020,3,8,18,staten_island_railway,Staten Island,omny,2,2,9.0,2.0,0.222222
2020,3,8,18,tram,Manhattan,metrocard,12,2,285.0,26.0,0.091228
2020,3,8,19,staten_island_railway,Staten Island,metrocard,9,2,47.0,17.0,0.361702
2020,3,8,19,staten_island_railway,Staten Island,omny,1,1,3.0,3.0,1.0
2020,3,8,19,tram,Manhattan,metrocard,7,2,135.0,11.0,0.081481
2020,3,8,20,staten_island_railway,Staten Island,metrocard,3,1,24.0,7.0,0.291667
2020,4,11,0,staten_island_railway,Staten Island,metrocard,4,1,8.0,4.0,0.5
2020,4,11,0,tram,Manhattan,metrocard,5,2,7.0,0.0,0.0
2020,4,11,1,staten_island_railway,Staten Island,metrocard,6,2,12.0,1.0,0.083333
2020,4,11,1,staten_island_railway,Staten Island,omny,1,1,1.0,0.0,0.0
2020,4,11,2,staten_island_railway,Staten Island,metrocard,4,1,6.0,1.0,0.166667
2020,4,11,5,tram,Manhattan,metrocard,4,2,7.0,1.0,0.142857
2020,4,11,6,tram,Manhattan,metrocard,10,2,61.0,4.0,0.065574
2020,4,11,7,tram,Manhattan,metrocard,1,1,1.0,1.0,1.0
2020,4,11,22,staten_island_railway,Staten Island,metrocard,7,2,32.0,4.0,0.125
2020,4,11,22,staten_island_railway,Staten Island,omny,1,1,2.0,1.0,0.5
2020,4,11,22,subway,Brooklyn,metrocard,152,34,1097.0,31.0,0.028259
2020,4,11,22,subway,Brooklyn,omny,27,27,129.0,0.0,0.0
2020,4,11,22,subway,Manhattan,metrocard,163,33,2243.0,20.0,0.008917
2020,4,11,22,subway,Manhattan,omny,31,31,382.0,4.0,0.010471
2020,4,11,22,subway,Queens,metrocard,63,21,307.0,8.0,0.026059
2020,4,11,22,subway,Queens,omny,4,4,22.0,0.0,0.0
2020,4,11,22,tram,Manhattan,metrocard,5,2,17.0,1.0,0.058824
2020,4,11,23,staten_island_railway,Staten Island,metrocard,6,2,25.0,7.0,0.28
2020,4,11,23,staten_island_railway,Staten Island,omny,1,1,5.0,1.0,0.2
2020,4,11,23,tram,Manhattan,metrocard,5,2,13.0,0.0,0.0
2021,1,2,8,staten_island_railway,Staten Island,metrocard,10,2,146.0,18.0,0.123288
2021,1,2,8,staten_island_railway,Staten Island,omny,2,2,8.0,3.0,0.375
2021,1,2,8,subway,Brooklyn,metrocard,147,24,2648.0,100.0,0.037764
2021,1,2,8,subway,Brooklyn,omny,23,23,434.0,17.0,0.039171
2021,1,2,8,subway,Manhattan,metrocard,191,32,4360.0,128.0,0.029358
2021,1,2,8,subway,Manhattan,omny,32,32,689.0,19.0,0.027576
2021,1,2,8,subway,Queens,metrocard,41,6,1131.0,63.0,0.055703
2021,1,2,8,subway,Queens,omny,6,6,119.0,2.0,0.016807
2021,1,2,8,tram,Manhattan,metrocard,8,2,100.0,6.0,0.06
2021,1,2,9,staten_island_railway,Staten Island,metrocard,11,2,93.0,9.0,0.096774
