field_name,description_es,source_type,unit_or_format,expected_or_possible_values,missing_value_code,null_count_sample,null_percent_sample,analytic_role,included_in_sample,official_source_url
transit_timestamp,"Fecha y hora local del pago, redondeada hacia abajo a la hora mas cercana.",Floating timestamp / DATE,YYYY-MM-DDTHH:00:00; hora local de Nueva York,2020-2024; minuto y segundo iguales a cero,NULL o celda vacia,0,0,Tiempo,Yes,https://data.ny.gov/api/views/wujg-7c2s/files/41d9b5bf-aeda-4a7e-b15c-a3c5f01ee345?download=true&filename=MTA_SubwayHourlyRidership_DataDictionary.pdf
transit_mode,"Distingue subway, Staten Island Railway y Roosevelt Island Tram.",TEXT,Categoria,subway; staten_island_railway; tram,NULL o celda vacia,0,0,Modo de transporte,Yes,https://data.ny.gov/api/views/wujg-7c2s/files/41d9b5bf-aeda-4a7e-b15c-a3c5f01ee345?download=true&filename=MTA_SubwayHourlyRidership_DataDictionary.pdf
station_complex_id,Identificador unico del complejo de estacion.,ALPHANUMERIC / TEXT,Identificador; conservar como texto,Codigo de complejo MTA,NULL o celda vacia,0,0,Clave geografica,Yes,https://data.ny.gov/api/views/wujg-7c2s/files/41d9b5bf-aeda-4a7e-b15c-a3c5f01ee345?download=true&filename=MTA_SubwayHourlyRidership_DataDictionary.pdf
station_complex,Nombre del complejo donde ocurrio la entrada; puede incluir las rutas entre parentesis.,TEXT,Nombre y rutas,Ejemplo oficial: Zerega Av (6),NULL o celda vacia,0,0,Estacion,Yes,https://data.ny.gov/api/views/wujg-7c2s/files/41d9b5bf-aeda-4a7e-b15c-a3c5f01ee345?download=true&filename=MTA_SubwayHourlyRidership_DataDictionary.pdf
borough,Borough atendido por el complejo o modo.,TEXT,Categoria geografica,Bronx; Brooklyn; Manhattan; Queens; Staten Island,NULL o celda vacia,0,0,Geografia,Yes,https://data.ny.gov/api/views/wujg-7c2s/files/41d9b5bf-aeda-4a7e-b15c-a3c5f01ee345?download=true&filename=MTA_SubwayHourlyRidership_DataDictionary.pdf
payment_method,Metodo utilizado para ingresar al sistema.,TEXT,Categoria,metrocard; omny,NULL o celda vacia,0,0,Medio de pago,Yes,https://data.ny.gov/api/views/wujg-7c2s/files/41d9b5bf-aeda-4a7e-b15c-a3c5f01ee345?download=true&filename=MTA_SubwayHourlyRidership_DataDictionary.pdf
fare_class_category,Categoria consolidada de la clase tarifaria usada.,TEXT,Categoria,Metrocard - Fair Fare; Full Fare; Other; Seniors & Disability; Students; Unlimited 30-Day; Unlimited 7-Day; OMNY - Full Fare; Other; Seniors & Disability; Students,NULL o celda vacia,0,0,Clase tarifaria,Yes,https://data.ny.gov/api/views/wujg-7c2s/files/41d9b5bf-aeda-4a7e-b15c-a3c5f01ee345?download=true&filename=MTA_SubwayHourlyRidership_DataDictionary.pdf
ridership,Total estimado de personas que ingresaron al complejo en esa hora y clase tarifaria mediante OMNY o MetroCard.,NUMERIC / number,Pasajeros estimados,Numero mayor o igual que cero,NULL o celda vacia,0,0,Medida principal,Yes,https://data.ny.gov/api/views/wujg-7c2s/files/41d9b5bf-aeda-4a7e-b15c-a3c5f01ee345?download=true&filename=MTA_SubwayHourlyRidership_DataDictionary.pdf
transfers,Personas que ingresaron mediante transferencia gratuita bus-subway o fuera de red; ya estan incluidas en ridership.,NUMERIC / number,Personas; subconjunto de ridership,0 <= transfers <= ridership esperado,NULL o celda vacia,0,0,Medida secundaria,Yes,https://data.ny.gov/api/views/wujg-7c2s/files/41d9b5bf-aeda-4a7e-b15c-a3c5f01ee345?download=true&filename=MTA_SubwayHourlyRidership_DataDictionary.pdf
latitude,Latitud del complejo de estacion.,DECIMAL / number,Grados decimales WGS84,Aproximadamente 40.4 a 41.0 para validacion,NULL o celda vacia,0,0,Coordenada,Yes,https://data.ny.gov/api/views/wujg-7c2s/files/41d9b5bf-aeda-4a7e-b15c-a3c5f01ee345?download=true&filename=MTA_SubwayHourlyRidership_DataDictionary.pdf
longitude,Longitud del complejo de estacion.,DECIMAL / number,Grados decimales WGS84,Aproximadamente -74.3 a -73.6 para validacion,NULL o celda vacia,0,0,Coordenada,Yes,https://data.ny.gov/api/views/wujg-7c2s/files/41d9b5bf-aeda-4a7e-b15c-a3c5f01ee345?download=true&filename=MTA_SubwayHourlyRidership_DataDictionary.pdf
georeference,Punto geografico generado por la plataforma a partir de longitud y latitud.,POINT,POINT (longitude latitude),Geometria puntual,NULL o celda vacia,0,0,Geografia,Yes,https://data.ny.gov/api/views/wujg-7c2s
:@computed_region_kjdx_g34t,Identificador de la region del dataset Counties que contiene el punto; generado automaticamente por Open NY.,number,ID de region calculada,Codigo de Counties o NULL,NULL; no seleccionado en la muestra,,,Mapa coropletico,No,https://data.ny.gov/api/views/wujg-7c2s
:@computed_region_yamh_8v7k,Identificador de NYS Municipal Boundaries que contiene el punto; generado automaticamente por Open NY.,number,ID de region calculada,Codigo municipal o NULL,NULL; no seleccionado en la muestra,,,Mapa coropletico,No,https://data.ny.gov/api/views/wujg-7c2s
:@computed_region_wbg7_3whc,Identificador de New York Zip Codes que contiene el punto; generado automaticamente por Open NY.,number,ID de region calculada,Codigo regional de ZIP o NULL,NULL; no seleccionado en la muestra,,,Mapa coropletico,No,https://data.ny.gov/api/views/wujg-7c2s
