station_complex_id,dow,hora,share,total_prepandemia
1,0,0,0.00087054,847747
1,0,1,0.00047656,847747
1,0,2,0.00023828,847747
1,0,3,0.00022294,847747
1,0,4,0.00027013,847747
1,0,5,0.00063934,847747
1,0,6,0.00123976,847747
1,0,7,0.00186966,847747
1,0,8,0.00295371,847747
1,0,9,0.00408612,847747
1,0,10,0.00534240,847747
1,0,11,0.00560545,847747
1,0,12,0.00553231,847747
1,0,13,0.00552641,847747
1,0,14,0.00529757,847747
1,0,15,0.00515484,847747
1,0,16,0.00439754,847747
1,0,17,0.00415100,847747
1,0,18,0.00330405,847747
1,0,19,0.00230729,847747
1,0,20,0.00196521,847747
1,0,21,0.00149219,847747
1,0,22,0.00159717,847747
1,0,23,0.00083398,847747
1,1,0,0.00044471,847747
1,1,1,0.00018402,847747
1,1,2,0.00016632,847747
1,1,3,0.00021469,847747
1,1,4,0.00068771,847747
1,1,5,0.00305516,847747
1,1,6,0.00818523,847747
1,1,7,0.01877919,847747
1,1,8,0.03133010,847747
1,1,9,0.01463054,847747
1,1,10,0.00733238,847747
1,1,11,0.00577059,847747
1,1,12,0.00512299,847747
1,1,13,0.00560309,847747
1,1,14,0.00710000,847747
1,1,15,0.00656092,847747
1,1,16,0.00634387,847747
1,1,17,0.00656682,847747
1,1,18,0.00469008,847747
1,1,19,0.00288294,847747
1,1,20,0.00238043,847747
1,1,21,0.00157712,847747
1,1,22,0.00149691,847747
1,1,23,0.00071484,847747
1,2,0,0.00033736,847747
1,2,1,0.00020879,847747
1,2,2,0.00019581,847747
1,2,3,0.00021233,847747
1,2,4,0.00077735,847747
1,2,5,0.00365911,847747
1,2,6,0.00946863,847747
1,2,7,0.02301866,847747
1,2,8,0.03912960,847747
1,2,9,0.01811507,847747
1,2,10,0.00822769,847747
1,2,11,0.00572812,847747
1,2,12,0.00507463,847747
1,2,13,0.00524449,847747
1,2,14,0.00714246,847747
1,2,15,0.00693603,847747
1,2,16,0.00753527,847747
1,2,17,0.00659749,847747
1,2,18,0.00506519,847747
1,2,19,0.00316958,847747
1,2,20,0.00238633,847747
1,2,21,0.00174816,847747
1,2,22,0.00158774,847747
1,2,23,0.00082100,847747
1,3,0,0.00054733,847747
1,3,1,0.00042112,847747
1,3,2,0.00030316,847747
1,3,3,0.00028546,847747
1,3,4,0.00081746,847747
1,3,5,0.00360367,847747
1,3,6,0.00975055,847747
1,3,7,0.02279454,847747
1,3,8,0.03901518,847747
1,3,9,0.01855624,847747
1,3,10,0.00876441,847747
1,3,11,0.00680156,847747
1,3,12,0.00572105,847747
1,3,13,0.00606077,847747
1,3,14,0.00820174,847747
1,3,15,0.00775585,847747
1,3,16,0.00802598,847747
1,3,17,0.00717785,847747
1,3,18,0.00561724,847747
1,3,19,0.00350222,847747
1,3,20,0.00276144,847747
1,3,21,0.00202183,847747
1,3,22,0.00176232,847747
1,3,23,0.00093070,847747
1,4,0,0.00045414,847747
1,4,1,0.00019581,847747
1,4,2,0.00019345,847747
1,4,3,0.00025951,847747
1,4,4,0.00082100,847747
1,4,5,0.00387970,847747
1,4,6,0.01057627,847747
1,4,7,0.02478688,847747
1,4,8,0.04278163,847747
1,4,9,0.01990570,847747
1,4,10,0.00959248,847747
1,4,11,0.00687115,847747
1,4,12,0.00612801,847747
1,4,13,0.00624125,847747
1,4,14,0.00830554,847747
1,4,15,0.00804957,847747
1,4,16,0.00847305,847747
1,4,17,0.00800593,847747
1,4,18,0.00584844,847747
1,4,19,0.00374640,847747
1,4,20,0.00286996,847747
1,4,21,0.00206901,847747
1,4,22,0.00189089,847747
1,4,23,0.00102979,847747
1,5,0,0.00046948,847747
1,5,1,0.00025479,847747
1,5,2,0.00021941,847747
1,5,3,0.00024772,847747
1,5,4,0.00085875,847747
1,5,5,0.00381128,847747
1,5,6,0.00973522,847747
1,5,7,0.02299861,847747
1,5,8,0.03909421,847747
1,5,9,0.01941971,847747
1,5,10,0.00917137,847747
1,5,11,0.00689828,847747
1,5,12,0.00585788,847747
1,5,13,0.00601948,847747
1,5,14,0.00806255,847747
1,5,15,0.00844710,847747
1,5,16,0.00859926,847747
1,5,17,0.00817343,847747
1,5,18,0.00682751,847747
1,5,19,0.00486820,847747
1,5,20,0.00364849,847747
1,5,21,0.00251136,847747
1,5,22,0.00223888,847747
1,5,23,0.00169862,847747
1,6,0,0.00090475,847747
1,6,1,0.00040932,847747
1,6,2,0.00024654,847747
1,6,3,0.00028664,847747
1,6,4,0.00042465,847747
1,6,5,0.00119965,847747
1,6,6,0.00212563,847747
1,6,7,0.00361075,847747
1,6,8,0.00531527,847747
1,6,9,0.00682279,847747
1,6,10,0.00661636,847747
1,6,11,0.00735833,847747
1,6,12,0.00726750,847747
1,6,13,0.00685936,847747
1,6,14,0.00694429,847747
1,6,15,0.00707522,847747
1,6,16,0.00657507,847747
1,6,17,0.00615278,847747
1,6,18,0.00568566,847747
1,6,19,0.00447421,847747
1,6,20,0.00307167,847747
1,6,21,0.00268240,847747
1,6,22,0.00227072,847747
1,6,23,0.00173165,847747
10,0,0,0.00249038,1063290
10,0,1,0.00122920,1063290
10,0,2,0.00060849,1063290
10,0,3,0.00044673,1063290
10,0,4,0.00033481,1063290
10,0,5,0.00018904,1063290
10,0,6,0.00035456,1063290
10,0,7,0.00058686,1063290
10,0,8,0.00094330,1063290
10,0,9,0.00160916,1063290
10,0,10,0.00228818,1063290
10,0,11,0.00291830,1063290
10,0,12,0.00347130,1063290
10,0,13,0.00296532,1063290
10,0,14,0.00349011,1063290
10,0,15,0.00417102,1063290
10,0,16,0.00548486,1063290
10,0,17,0.00567390,1063290
10,0,18,0.00486603,1063290
10,0,19,0.00368949,1063290
10,0,20,0.00329543,1063290
10,0,21,0.00378824,1063290
10,0,22,0.00342240,1063290
10,0,23,0.00222893,1063290
10,1,0,0.00105898,1063290
10,1,1,0.00039970,1063290
10,1,2,0.00021537,1063290
10,1,3,0.00014107,1063290
10,1,4,0.00016270,1063290
10,1,5,0.00025769,1063290
10,1,6,0.00069407,1063290
10,1,7,0.00214711,1063290
10,1,8,0.00472214,1063290
10,1,9,0.00493656,1063290
10,1,10,0.00386348,1063290
10,1,11,0.00407603,1063290
10,1,12,0.00470991,1063290
10,1,13,0.00500804,1063290
10,1,14,0.00658804,1063290
10,1,15,0.00897215,1063290
10,1,16,0.01170706,1063290
10,1,17,0.02387778,1063290
10,1,18,0.02128112,1063290
10,1,19,0.01077317,1063290
