station_complex_id,dow,hora,ridership
1,0,0,738
1,0,1,404
1,0,2,202
1,0,3,189
1,0,4,229
1,0,5,542
1,0,6,1051
1,0,7,1585
1,0,8,2504
1,0,9,3464
1,0,10,4529
1,0,11,4752
1,0,12,4690
1,0,13,4685
1,0,14,4491
1,0,15,4370
1,0,16,3728
1,0,17,3519
1,0,18,2801
1,0,19,1956
1,0,20,1666
1,0,21,1265
1,0,22,1354
1,0,23,707
1,1,0,377
1,1,1,156
1,1,2,141
1,1,3,182
1,1,4,583
1,1,5,2590
1,1,6,6939
1,1,7,15920
1,1,8,26560
1,1,9,12403
1,1,10,6216
1,1,11,4892
1,1,12,4343
1,1,13,4750
1,1,14,6019
1,1,15,5562
1,1,16,5378
1,1,17,5567
1,1,18,3976
1,1,19,2444
1,1,20,2018
1,1,21,1337
1,1,22,1269
1,1,23,606
1,2,0,286
1,2,1,177
1,2,2,166
1,2,3,180
1,2,4,659
1,2,5,3102
1,2,6,8027
1,2,7,19514
1,2,8,33172
1,2,9,15357
1,2,10,6975
1,2,11,4856
1,2,12,4302
1,2,13,4446
1,2,14,6055
1,2,15,5880
1,2,16,6388
1,2,17,5593
1,2,18,4294
1,2,19,2687
1,2,20,2023
1,2,21,1482
1,2,22,1346
1,2,23,696
1,3,0,464
1,3,1,357
1,3,2,257
1,3,3,242
1,3,4,693
1,3,5,3055
1,3,6,8266
1,3,7,19324
1,3,8,33075
1,3,9,15731
1,3,10,7430
1,3,11,5766
1,3,12,4850
1,3,13,5138
1,3,14,6953
1,3,15,6575
1,3,16,6804
1,3,17,6085
1,3,18,4762
1,3,19,2969
1,3,20,2341
1,3,21,1714
1,3,22,1494
1,3,23,789
1,4,0,385
1,4,1,166
1,4,2,164
1,4,3,220
1,4,4,696
1,4,5,3289
1,4,6,8966
1,4,7,21013
1,4,8,36268
1,4,9,16875
1,4,10,8132
1,4,11,5825
1,4,12,5195
1,4,13,5291
1,4,14,7041
1,4,15,6824
1,4,16,7183
1,4,17,6787
1,4,18,4958
1,4,19,3176
1,4,20,2433
1,4,21,1754
1,4,22,1603
1,4,23,873
1,5,0,398
1,5,1,216
1,5,2,186
1,5,3,210
1,5,4,728
1,5,5,3231
1,5,6,8253
1,5,7,19497
1,5,8,33142
1,5,9,16463
1,5,10,7775
1,5,11,5848
1,5,12,4966
1,5,13,5103
1,5,14,6835
1,5,15,7161
1,5,16,7290
1,5,17,6929
1,5,18,5788
1,5,19,4127
1,5,20,3093
1,5,21,2129
1,5,22,1898
1,5,23,1440
1,6,0,767
1,6,1,347
1,6,2,209
1,6,3,243
1,6,4,360
1,6,5,1017
1,6,6,1802
1,6,7,3061
1,6,8,4506
1,6,9,5784
1,6,10,5609
1,6,11,6238
1,6,12,6161
1,6,13,5815
1,6,14,5887
1,6,15,5998
1,6,16,5574
1,6,17,5216
1,6,18,4820
1,6,19,3793
1,6,20,2604
1,6,21,2274
1,6,22,1925
1,6,23,1468
10,0,0,2648
10,0,1,1307
10,0,2,647
10,0,3,475
10,0,4,356
10,0,5,201
10,0,6,377
10,0,7,624
10,0,8,1003
10,0,9,1711
10,0,10,2433
10,0,11,3103
10,0,12,3691
10,0,13,3153
10,0,14,3711
10,0,15,4435
10,0,16,5832
10,0,17,6033
