mes,borough,payment_method,fare_class_category,ridership
2020-01,Bronx,metrocard,Metrocard - Fair Fare,323961
2020-01,Bronx,metrocard,Metrocard - Full Fare,3802676
2020-01,Bronx,metrocard,Metrocard - Other,910143
2020-01,Bronx,metrocard,Metrocard - Seniors & Disability,296365
2020-01,Bronx,metrocard,Metrocard - Students,976984
2020-01,Bronx,metrocard,Metrocard - Unlimited 30-Day,1776656
2020-01,Bronx,metrocard,Metrocard - Unlimited 7-Day,3143589
2020-01,Bronx,omny,OMNY - Full Fare,51248
2020-01,Brooklyn,metrocard,Metrocard - Fair Fare,459282
2020-01,Brooklyn,metrocard,Metrocard - Full Fare,10678445
2020-01,Brooklyn,metrocard,Metrocard - Other,2688546
2020-01,Brooklyn,metrocard,Metrocard - Seniors & Disability,933395
2020-01,Brooklyn,metrocard,Metrocard - Students,2003793
2020-01,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,7943995
2020-01,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,5915231
2020-01,Brooklyn,omny,OMNY - Full Fare,77981
2020-01,Manhattan,metrocard,Metrocard - Fair Fare,688149
2020-01,Manhattan,metrocard,Metrocard - Full Fare,30376032
2020-01,Manhattan,metrocard,Metrocard - Other,7434359
2020-01,Manhattan,metrocard,Metrocard - Seniors & Disability,2473457
2020-01,Manhattan,metrocard,Metrocard - Students,2144002
2020-01,Manhattan,metrocard,Metrocard - Unlimited 30-Day,19524351
2020-01,Manhattan,metrocard,Metrocard - Unlimited 7-Day,12576877
2020-01,Manhattan,omny,OMNY - Full Fare,1959655
2020-01,Queens,metrocard,Metrocard - Fair Fare,201626
2020-01,Queens,metrocard,Metrocard - Full Fare,7202126
2020-01,Queens,metrocard,Metrocard - Other,1506562
2020-01,Queens,metrocard,Metrocard - Seniors & Disability,638604
2020-01,Queens,metrocard,Metrocard - Students,1122894
2020-01,Queens,metrocard,Metrocard - Unlimited 30-Day,4843630
2020-01,Queens,metrocard,Metrocard - Unlimited 7-Day,4055409
2020-01,Queens,omny,OMNY - Full Fare,8274
2020-01,Staten Island,metrocard,Metrocard - Fair Fare,2002
2020-01,Staten Island,metrocard,Metrocard - Full Fare,172606
2020-01,Staten Island,metrocard,Metrocard - Other,41209
2020-01,Staten Island,metrocard,Metrocard - Seniors & Disability,12780
2020-01,Staten Island,metrocard,Metrocard - Students,16412
2020-01,Staten Island,metrocard,Metrocard - Unlimited 30-Day,34643
2020-01,Staten Island,metrocard,Metrocard - Unlimited 7-Day,19101
2020-01,Staten Island,omny,OMNY - Full Fare,7700
2020-02,Bronx,metrocard,Metrocard - Fair Fare,363541
2020-02,Bronx,metrocard,Metrocard - Full Fare,3445908
2020-02,Bronx,metrocard,Metrocard - Other,966358
2020-02,Bronx,metrocard,Metrocard - Seniors & Disability,282609
2020-02,Bronx,metrocard,Metrocard - Students,864197
2020-02,Bronx,metrocard,Metrocard - Unlimited 30-Day,1704120
2020-02,Bronx,metrocard,Metrocard - Unlimited 7-Day,3023957
2020-02,Bronx,omny,OMNY - Full Fare,96990
2020-02,Brooklyn,metrocard,Metrocard - Fair Fare,519242
2020-02,Brooklyn,metrocard,Metrocard - Full Fare,9751806
2020-02,Brooklyn,metrocard,Metrocard - Other,2600614
2020-02,Brooklyn,metrocard,Metrocard - Seniors & Disability,868917
2020-02,Brooklyn,metrocard,Metrocard - Students,1787103
2020-02,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,7729895
2020-02,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,5681585
2020-02,Brooklyn,omny,OMNY - Full Fare,122122
2020-02,Manhattan,metrocard,Metrocard - Fair Fare,788971
2020-02,Manhattan,metrocard,Metrocard - Full Fare,27041671
2020-02,Manhattan,metrocard,Metrocard - Other,6980809
2020-02,Manhattan,metrocard,Metrocard - Seniors & Disability,2311223
2020-02,Manhattan,metrocard,Metrocard - Students,1904819
2020-02,Manhattan,metrocard,Metrocard - Unlimited 30-Day,19048420
2020-02,Manhattan,metrocard,Metrocard - Unlimited 7-Day,12058452
2020-02,Manhattan,omny,OMNY - Full Fare,2950829
2020-02,Queens,metrocard,Metrocard - Fair Fare,230465
2020-02,Queens,metrocard,Metrocard - Full Fare,6489600
2020-02,Queens,metrocard,Metrocard - Other,1446538
2020-02,Queens,metrocard,Metrocard - Seniors & Disability,584269
2020-02,Queens,metrocard,Metrocard - Students,980603
2020-02,Queens,metrocard,Metrocard - Unlimited 30-Day,4664412
2020-02,Queens,metrocard,Metrocard - Unlimited 7-Day,3909715
2020-02,Queens,omny,OMNY - Full Fare,10168
2020-02,Staten Island,metrocard,Metrocard - Fair Fare,2757
2020-02,Staten Island,metrocard,Metrocard - Full Fare,153869
2020-02,Staten Island,metrocard,Metrocard - Other,38042
2020-02,Staten Island,metrocard,Metrocard - Seniors & Disability,11525
2020-02,Staten Island,metrocard,Metrocard - Students,14399
2020-02,Staten Island,metrocard,Metrocard - Unlimited 30-Day,33472
2020-02,Staten Island,metrocard,Metrocard - Unlimited 7-Day,17549
2020-02,Staten Island,omny,OMNY - Full Fare,9514
2020-03,Bronx,metrocard,Metrocard - Fair Fare,298800
2020-03,Bronx,metrocard,Metrocard - Full Fare,2339002
2020-03,Bronx,metrocard,Metrocard - Other,677158
2020-03,Bronx,metrocard,Metrocard - Seniors & Disability,189093
2020-03,Bronx,metrocard,Metrocard - Students,565390
2020-03,Bronx,metrocard,Metrocard - Unlimited 30-Day,1210081
2020-03,Bronx,metrocard,Metrocard - Unlimited 7-Day,2116821
2020-03,Bronx,omny,OMNY - Full Fare,131226
2020-03,Brooklyn,metrocard,Metrocard - Fair Fare,406549
2020-03,Brooklyn,metrocard,Metrocard - Full Fare,5739450
2020-03,Brooklyn,metrocard,Metrocard - Other,1583190
2020-03,Brooklyn,metrocard,Metrocard - Seniors & Disability,515440
2020-03,Brooklyn,metrocard,Metrocard - Students,1090752
2020-03,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,4441444
2020-03,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,3643648
2020-03,Brooklyn,omny,OMNY - Full Fare,78417
2020-03,Manhattan,metrocard,Metrocard - Fair Fare,597590
2020-03,Manhattan,metrocard,Metrocard - Full Fare,13051224
2020-03,Manhattan,metrocard,Metrocard - Other,3641533
2020-03,Manhattan,metrocard,Metrocard - Seniors & Disability,1149927
2020-03,Manhattan,metrocard,Metrocard - Students,1095869
2020-03,Manhattan,metrocard,Metrocard - Unlimited 30-Day,9863731
2020-03,Manhattan,metrocard,Metrocard - Unlimited 7-Day,6886100
2020-03,Manhattan,omny,OMNY - Full Fare,1492986
2020-03,Queens,metrocard,Metrocard - Fair Fare,181201
2020-03,Queens,metrocard,Metrocard - Full Fare,3963008
2020-03,Queens,metrocard,Metrocard - Other,924088
2020-03,Queens,metrocard,Metrocard - Seniors & Disability,340437
2020-03,Queens,metrocard,Metrocard - Students,609128
2020-03,Queens,metrocard,Metrocard - Unlimited 30-Day,2802023
2020-03,Queens,metrocard,Metrocard - Unlimited 7-Day,2533443
2020-03,Queens,omny,OMNY - Full Fare,8364
2020-03,Staten Island,metrocard,Metrocard - Fair Fare,2375
2020-03,Staten Island,metrocard,Metrocard - Full Fare,92152
2020-03,Staten Island,metrocard,Metrocard - Other,25579
2020-03,Staten Island,metrocard,Metrocard - Seniors & Disability,7030
2020-03,Staten Island,metrocard,Metrocard - Students,7899
2020-03,Staten Island,metrocard,Metrocard - Unlimited 30-Day,21955
2020-03,Staten Island,metrocard,Metrocard - Unlimited 7-Day,13917
2020-03,Staten Island,omny,OMNY - Full Fare,6463
2020-04,Bronx,metrocard,Metrocard - Fair Fare,98806
2020-04,Bronx,metrocard,Metrocard - Full Fare,850352
2020-04,Bronx,metrocard,Metrocard - Other,250456
2020-04,Bronx,metrocard,Metrocard - Seniors & Disability,58816
2020-04,Bronx,metrocard,Metrocard - Students,68826
2020-04,Bronx,metrocard,Metrocard - Unlimited 30-Day,262113
2020-04,Bronx,metrocard,Metrocard - Unlimited 7-Day,436225
2020-04,Bronx,omny,OMNY - Full Fare,61183
2020-04,Brooklyn,metrocard,Metrocard - Fair Fare,120238
2020-04,Brooklyn,metrocard,Metrocard - Full Fare,1523396
2020-04,Brooklyn,metrocard,Metrocard - Other,375089
