station_complex_id,year,dow,hora,ridership
1,2020,0,0,1610
1,2020,0,1,553
1,2020,0,2,268
1,2020,0,3,314
1,2020,0,4,619
1,2020,0,5,1898
1,2020,0,6,3494
1,2020,0,7,4841
1,2020,0,8,6590
1,2020,0,9,9533
1,2020,0,10,11806
1,2020,0,11,11792
1,2020,0,12,11897
1,2020,0,13,12377
1,2020,0,14,12171
1,2020,0,15,11581
1,2020,0,16,10052
1,2020,0,17,9373
1,2020,0,18,7831
1,2020,0,19,5897
1,2020,0,20,5161
1,2020,0,21,4355
1,2020,0,22,4325
1,2020,0,23,2267
1,2020,1,0,916
1,2020,1,1,257
1,2020,1,2,227
1,2020,1,3,268
1,2020,1,4,1651
1,2020,1,5,9762
1,2020,1,6,20760
1,2020,1,7,38133
1,2020,1,8,52510
1,2020,1,9,28144
1,2020,1,10,16510
1,2020,1,11,13130
1,2020,1,12,12374
1,2020,1,13,13667
1,2020,1,14,16700
1,2020,1,15,16181
1,2020,1,16,15810
1,2020,1,17,15811
1,2020,1,18,10974
1,2020,1,19,7232
1,2020,1,20,5994
1,2020,1,21,4354
1,2020,1,22,4038
1,2020,1,23,1964
1,2020,2,0,746
1,2020,2,1,279
1,2020,2,2,237
1,2020,2,3,271
1,2020,2,4,1809
1,2020,2,5,10339
1,2020,2,6,22616
1,2020,2,7,43197
1,2020,2,8,60651
1,2020,2,9,31842
1,2020,2,10,17986
1,2020,2,11,13707
1,2020,2,12,12391
1,2020,2,13,13587
1,2020,2,14,17230
1,2020,2,15,17429
1,2020,2,16,18524
1,2020,2,17,15781
1,2020,2,18,11605
1,2020,2,19,7743
1,2020,2,20,6219
1,2020,2,21,4698
1,2020,2,22,4392
1,2020,2,23,2251
1,2020,3,0,927
1,2020,3,1,439
1,2020,3,2,336
1,2020,3,3,323
1,2020,3,4,1735
1,2020,3,5,9980
1,2020,3,6,22317
1,2020,3,7,42374
1,2020,3,8,59920
1,2020,3,9,32278
1,2020,3,10,18808
1,2020,3,11,14791
1,2020,3,12,13170
1,2020,3,13,14489
1,2020,3,14,18194
1,2020,3,15,17922
1,2020,3,16,18851
1,2020,3,17,16129
1,2020,3,18,12271
1,2020,3,19,8009
1,2020,3,20,6476
1,2020,3,21,5019
1,2020,3,22,4370
1,2020,3,23,2368
1,2020,4,0,873
1,2020,4,1,251
1,2020,4,2,235
1,2020,4,3,344
1,2020,4,4,1849
1,2020,4,5,10177
1,2020,4,6,22599
1,2020,4,7,42823
1,2020,4,8,61178
1,2020,4,9,32465
1,2020,4,10,19050
1,2020,4,11,14105
1,2020,4,12,13489
1,2020,4,13,14450
1,2020,4,14,17939
1,2020,4,15,17624
1,2020,4,16,18359
1,2020,4,17,16110
1,2020,4,18,12206
1,2020,4,19,8161
1,2020,4,20,6377
1,2020,4,21,4904
1,2020,4,22,4637
1,2020,4,23,2667
1,2020,5,0,928
1,2020,5,1,308
1,2020,5,2,269
1,2020,5,3,299
1,2020,5,4,1823
1,2020,5,5,9853
1,2020,5,6,20547
1,2020,5,7,38623
1,2020,5,8,54657
1,2020,5,9,31205
1,2020,5,10,17983
1,2020,5,11,13995
1,2020,5,12,13084
1,2020,5,13,14402
1,2020,5,14,17594
1,2020,5,15,18544
1,2020,5,16,18651
1,2020,5,17,16847
1,2020,5,18,13600
1,2020,5,19,9847
1,2020,5,20,7556
1,2020,5,21,5427
1,2020,5,22,5176
1,2020,5,23,3695
1,2020,6,0,1523
1,2020,6,1,449
1,2020,6,2,284
1,2020,6,3,328
1,2020,6,4,814
1,2020,6,5,3237
1,2020,6,6,5234
1,2020,6,7,8023
1,2020,6,8,10742
1,2020,6,9,14158
1,2020,6,10,13890
1,2020,6,11,14535
1,2020,6,12,14962
1,2020,6,13,15105
1,2020,6,14,15213
1,2020,6,15,15037
1,2020,6,16,13625
1,2020,6,17,12830
1,2020,6,18,11076
1,2020,6,19,8683
1,2020,6,20,6474
1,2020,6,21,5648
1,2020,6,22,5137
1,2020,6,23,3718
1,2021,0,0,2344
1,2021,0,1,1002
1,2021,0,2,396
1,2021,0,3,294
1,2021,0,4,796
1,2021,0,5,1562
1,2021,0,6,3935
1,2021,0,7,5650
1,2021,0,8,8306
1,2021,0,9,12127
1,2021,0,10,14513
1,2021,0,11,14719
1,2021,0,12,14762
1,2021,0,13,15375
1,2021,0,14,15131
1,2021,0,15,13815
1,2021,0,16,12616
1,2021,0,17,11431
1,2021,0,18,9690
1,2021,0,19,7606
1,2021,0,20,6409
1,2021,0,21,5618
1,2021,0,22,5338
1,2021,0,23,2481
1,2021,1,0,1278
1,2021,1,1,430
1,2021,1,2,253
1,2021,1,3,313
1,2021,1,4,1840
1,2021,1,5,8736
1,2021,1,6,22787
1,2021,1,7,40942
1,2021,1,8,47642
1,2021,1,9,27259
1,2021,1,10,18780
1,2021,1,11,15498
1,2021,1,12,15029
1,2021,1,13,15867
1,2021,1,14,20081
1,2021,1,15,19334
1,2021,1,16,18628
1,2021,1,17,20782
1,2021,1,18,14242
1,2021,1,19,9604
1,2021,1,20,7393
1,2021,1,21,5321
1,2021,1,22,5263
1,2021,1,23,2290
1,2021,2,0,1137
1,2021,2,1,422
1,2021,2,2,214
1,2021,2,3,330
1,2021,2,4,2031
1,2021,2,5,9404
1,2021,2,6,25383
1,2021,2,7,46230
1,2021,2,8,55081
1,2021,2,9,30941
1,2021,2,10,20686
1,2021,2,11,16789
1,2021,2,12,15288
1,2021,2,13,17013
1,2021,2,14,21677
1,2021,2,15,21137
1,2021,2,16,22745
1,2021,2,17,21463
1,2021,2,18,16600
1,2021,2,19,10444
1,2021,2,20,7807
1,2021,2,21,6015
1,2021,2,22,5757
1,2021,2,23,2752
1,2021,3,0,1366
1,2021,3,1,453
1,2021,3,2,209
1,2021,3,3,363
1,2021,3,4,2103
1,2021,3,5,9505
1,2021,3,6,25197
1,2021,3,7,46178
1,2021,3,8,56443
1,2021,3,9,32271
1,2021,3,10,21571
1,2021,3,11,17268
1,2021,3,12,16058
1,2021,3,13,17033
1,2021,3,14,22464
1,2021,3,15,21762
1,2021,3,16,23304
1,2021,3,17,21661
1,2021,3,18,16751
1,2021,3,19,10598
1,2021,3,20,7855
1,2021,3,21,6420
1,2021,3,22,5735
1,2021,3,23,2829
1,2021,4,0,1457
1,2021,4,1,423
1,2021,4,2,217
1,2021,4,3,335
1,2021,4,4,2166
1,2021,4,5,9344
1,2021,4,6,24075
1,2021,4,7,43727
1,2021,4,8,53080
1,2021,4,9,30948
1,2021,4,10,21884
1,2021,4,11,17088
1,2021,4,12,15908
1,2021,4,13,16615
1,2021,4,14,21995
1,2021,4,15,21791
1,2021,4,16,22783
1,2021,4,17,21942
1,2021,4,18,16856
1,2021,4,19,10856
1,2021,4,20,8182
1,2021,4,21,6201
1,2021,4,22,6100
1,2021,4,23,3018
1,2021,5,0,1467
1,2021,5,1,490
1,2021,5,2,260
1,2021,5,3,338
1,2021,5,4,2069
1,2021,5,5,9064
1,2021,5,6,22457
1,2021,5,7,39503
1,2021,5,8,44797
1,2021,5,9,29129
1,2021,5,10,21346
1,2021,5,11,17379
1,2021,5,12,16854
1,2021,5,13,18374
1,2021,5,14,24099
1,2021,5,15,23851
1,2021,5,16,24939
1,2021,5,17,23349
1,2021,5,18,19383
1,2021,5,19,13771
1,2021,5,20,10383
1,2021,5,21,7841
1,2021,5,22,7251
1,2021,5,23,4552
1,2021,6,0,2456
1,2021,6,1,940
1,2021,6,2,418
1,2021,6,3,355
1,2021,6,4,816
1,2021,6,5,3010
1,2021,6,6,6193
1,2021,6,7,9213
1,2021,6,8,13025
1,2021,6,9,17128
1,2021,6,10,18207
1,2021,6,11,18837
1,2021,6,12,19596
1,2021,6,13,19674
1,2021,6,14,20186
1,2021,6,15,18945
1,2021,6,16,17550
1,2021,6,17,16352
1,2021,6,18,14452
1,2021,6,19,11182
1,2021,6,20,8783
1,2021,6,21,7143
1,2021,6,22,6974
1,2021,6,23,4195
1,2022,0,0,2662
1,2022,0,1,1265
1,2022,0,2,708
1,2022,0,3,546
1,2022,0,4,1133
1,2022,0,5,2148
1,2022,0,6,5080
1,2022,0,7,7027
1,2022,0,8,10821
1,2022,0,9,15226
1,2022,0,10,18577
1,2022,0,11,19212
1,2022,0,12,19509
1,2022,0,13,19886
1,2022,0,14,18723
1,2022,0,15,16885
1,2022,0,16,14907
1,2022,0,17,14094
1,2022,0,18,12154
1,2022,0,19,9151
1,2022,0,20,7401
1,2022,0,21,6417
1,2022,0,22,5542
1,2022,0,23,2698
1,2022,1,0,1459
1,2022,1,1,637
1,2022,1,2,450
1,2022,1,3,676
1,2022,1,4,2337
1,2022,1,5,10254
1,2022,1,6,27657
1,2022,1,7,56395
1,2022,1,8,68960
1,2022,1,9,35940
1,2022,1,10,24323
1,2022,1,11,19430
1,2022,1,12,18637
1,2022,1,13,19246
1,2022,1,14,26109
1,2022,1,15,24523
1,2022,1,16,23879
1,2022,1,17,26500
1,2022,1,18,18511
1,2022,1,19,12410
1,2022,1,20,8759
1,2022,1,21,6529
1,2022,1,22,5829
1,2022,1,23,2663
1,2022,2,0,1336
1,2022,2,1,613
1,2022,2,2,433
1,2022,2,3,752
1,2022,2,4,2797
1,2022,2,5,11425
1,2022,2,6,32269
1,2022,2,7,68430
1,2022,2,8,90224
1,2022,2,9,44323
1,2022,2,10,27022
1,2022,2,11,20695
1,2022,2,12,18336
1,2022,2,13,20569
1,2022,2,14,27390
1,2022,2,15,26258
1,2022,2,16,28281
1,2022,2,17,27110
1,2022,2,18,21066
1,2022,2,19,12463
1,2022,2,20,9167
1,2022,2,21,6725
1,2022,2,22,6154
1,2022,2,23,2906
1,2022,3,0,1558
1,2022,3,1,676
1,2022,3,2,431
1,2022,3,3,820
1,2022,3,4,2705
1,2022,3,5,11605
1,2022,3,6,32107
1,2022,3,7,67660
1,2022,3,8,89948
1,2022,3,9,45968
1,2022,3,10,28795
1,2022,3,11,22229
1,2022,3,12,19636
1,2022,3,13,21409
1,2022,3,14,28733
1,2022,3,15,27398
1,2022,3,16,29293
1,2022,3,17,28496
1,2022,3,18,21871
1,2022,3,19,13970
1,2022,3,20,9960
1,2022,3,21,7646
1,2022,3,22,6984
1,2022,3,23,3078
1,2022,4,0,1648
1,2022,4,1,664
1,2022,4,2,417
1,2022,4,3,654
1,2022,4,4,2716
1,2022,4,5,11284
1,2022,4,6,31042
1,2022,4,7,66515
1,2022,4,8,85298
1,2022,4,9,43714
1,2022,4,10,28628
1,2022,4,11,21773
1,2022,4,12,19240
1,2022,4,13,21633
1,2022,4,14,28746
1,2022,4,15,27419
1,2022,4,16,29459
1,2022,4,17,29395
1,2022,4,18,22134
1,2022,4,19,14359
1,2022,4,20,10076
1,2022,4,21,7444
1,2022,4,22,6833
1,2022,4,23,3272
1,2022,5,0,1743
1,2022,5,1,811
1,2022,5,2,523
1,2022,5,3,709
1,2022,5,4,2675
1,2022,5,5,11028
1,2022,5,6,27923
1,2022,5,7,54702
1,2022,5,8,63275
1,2022,5,9,37192
1,2022,5,10,26437
1,2022,5,11,21332
1,2022,5,12,20044
1,2022,5,13,21749
1,2022,5,14,29970
1,2022,5,15,29347
1,2022,5,16,30759
1,2022,5,17,30904
1,2022,5,18,26497
1,2022,5,19,17818
1,2022,5,20,13030
1,2022,5,21,9543
1,2022,5,22,8282
1,2022,5,23,4973
1,2022,6,0,2909
1,2022,6,1,1317
1,2022,6,2,740
1,2022,6,3,691
1,2022,6,4,1265
1,2022,6,5,3815
1,2022,6,6,7352
1,2022,6,7,11362
1,2022,6,8,16511
1,2022,6,9,21222
1,2022,6,10,22166
1,2022,6,11,23998
1,2022,6,12,24351
1,2022,6,13,24650
1,2022,6,14,24740
1,2022,6,15,23791
1,2022,6,16,21824
1,2022,6,17,21368
1,2022,6,18,19031
1,2022,6,19,14219
1,2022,6,20,11339
1,2022,6,21,9059
1,2022,6,22,7595
1,2022,6,23,4862
1,2023,0,0,2941
1,2023,0,1,1470
1,2023,0,2,836
1,2023,0,3,631
1,2023,0,4,1284
1,2023,0,5,2403
1,2023,0,6,5593
1,2023,0,7,7334
1,2023,0,8,11822
1,2023,0,9,16233
1,2023,0,10,19501
1,2023,0,11,20575
1,2023,0,12,21127
1,2023,0,13,21657
1,2023,0,14,20009
1,2023,0,15,17854
1,2023,0,16,15611
1,2023,0,17,14769
1,2023,0,18,12956
1,2023,0,19,9517
1,2023,0,20,7831
1,2023,0,21,6588
1,2023,0,22,6428
1,2023,0,23,2872
1,2023,1,0,1598
1,2023,1,1,718
1,2023,1,2,495
1,2023,1,3,786
1,2023,1,4,2477
1,2023,1,5,10862
1,2023,1,6,27777
1,2023,1,7,61587
1,2023,1,8,77078
1,2023,1,9,39546
1,2023,1,10,26739
1,2023,1,11,21035
1,2023,1,12,20076
1,2023,1,13,21532
1,2023,1,14,27925
1,2023,1,15,27757
1,2023,1,16,25507
1,2023,1,17,28074
1,2023,1,18,19379
1,2023,1,19,12476
1,2023,1,20,9279
1,2023,1,21,6705
1,2023,1,22,6163
1,2023,1,23,2796
1,2023,2,0,1408
1,2023,2,1,655
1,2023,2,2,457
1,2023,2,3,850
1,2023,2,4,2805
1,2023,2,5,12295
1,2023,2,6,32932
1,2023,2,7,76952
1,2023,2,8,107301
1,2023,2,9,51478
1,2023,2,10,30493
1,2023,2,11,22764
1,2023,2,12,20009
1,2023,2,13,21968
1,2023,2,14,29509
1,2023,2,15,30079
1,2023,2,16,29590
1,2023,2,17,29335
1,2023,2,18,22087
1,2023,2,19,13274
1,2023,2,20,10061
1,2023,2,21,7490
1,2023,2,22,6949
1,2023,2,23,2911
1,2023,3,0,1584
1,2023,3,1,763
1,2023,3,2,491
1,2023,3,3,885
1,2023,3,4,2772
1,2023,3,5,11938
1,2023,3,6,32549
1,2023,3,7,75688
1,2023,3,8,109182
1,2023,3,9,53117
1,2023,3,10,31814
1,2023,3,11,24593
1,2023,3,12,21780
1,2023,3,13,22773
1,2023,3,14,30508
1,2023,3,15,31065
1,2023,3,16,29849
1,2023,3,17,29529
1,2023,3,18,22777
1,2023,3,19,14251
1,2023,3,20,10613
1,2023,3,21,8133
1,2023,3,22,7456
1,2023,3,23,3306
1,2023,4,0,1710
1,2023,4,1,753
1,2023,4,2,457
1,2023,4,3,866
1,2023,4,4,2751
1,2023,4,5,11722
1,2023,4,6,31422
1,2023,4,7,72471
1,2023,4,8,101575
1,2023,4,9,50951
1,2023,4,10,30992
