year,ventana_inicio,station_complex_id,station_complex,borough,n_registros_ventana
2020,2020-02-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,1041
2020,2020-05-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,835
2020,2020-08-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,976
2020,2020-11-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,1048
2021,2021-02-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,1034
2021,2021-05-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,1137
2021,2021-08-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,1144
2021,2021-11-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,1204
2022,2022-02-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,1189
2022,2022-05-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,1195
2022,2022-08-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,1189
2022,2022-11-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,1214
2023,2023-02-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,1216
2023,2023-05-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,1256
2023,2023-08-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,1242
2023,2023-11-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,1273
2024,2024-02-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,1268
2024,2024-05-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,1285
2024,2024-08-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,1293
2024,2024-11-15,1,"Astoria-Ditmars Blvd (N,W)",Queens,1492
2020,2020-02-15,10,"49 St (N,R,W)",Manhattan,1020
2020,2020-05-15,10,"49 St (N,R,W)",Manhattan,706
2020,2020-08-15,10,"49 St (N,R,W)",Manhattan,925
2020,2020-11-15,10,"49 St (N,R,W)",Manhattan,1012
2021,2021-02-15,10,"49 St (N,R,W)",Manhattan,983
2021,2021-05-15,10,"49 St (N,R,W)",Manhattan,1140
2021,2021-08-15,10,"49 St (N,R,W)",Manhattan,1152
2021,2021-11-15,10,"49 St (N,R,W)",Manhattan,1216
2022,2022-02-15,10,"49 St (N,R,W)",Manhattan,1180
2022,2022-05-15,10,"49 St (N,R,W)",Manhattan,1238
2022,2022-08-15,10,"49 St (N,R,W)",Manhattan,1193
2022,2022-11-15,10,"49 St (N,R,W)",Manhattan,1222
2023,2023-02-15,10,"49 St (N,R,W)",Manhattan,1260
2023,2023-05-15,10,"49 St (N,R,W)",Manhattan,1283
2023,2023-08-15,10,"49 St (N,R,W)",Manhattan,1274
2023,2023-11-15,10,"49 St (N,R,W)",Manhattan,1315
2024,2024-02-15,10,"49 St (N,R,W)",Manhattan,1264
2024,2024-05-15,10,"49 St (N,R,W)",Manhattan,1342
2024,2024-08-15,10,"49 St (N,R,W)",Manhattan,1326
2024,2024-11-15,10,"49 St (N,R,W)",Manhattan,1496
2020,2020-02-15,100,"Hewes St (M,J)",Brooklyn,958
2020,2020-05-15,100,"Hewes St (M,J)",Brooklyn,667
2020,2020-08-15,100,"Hewes St (M,J)",Brooklyn,707
2020,2020-11-15,100,"Hewes St (M,J)",Brooklyn,945
2021,2021-02-15,100,"Hewes St (M,J)",Brooklyn,878
2021,2021-05-15,100,"Hewes St (M,J)",Brooklyn,1034
2021,2021-08-15,100,"Hewes St (M,J)",Brooklyn,1001
2021,2021-11-15,100,"Hewes St (M,J)",Brooklyn,1066
2022,2022-02-15,100,"Hewes St (M,J)",Brooklyn,1006
2022,2022-05-15,100,"Hewes St (M,J)",Brooklyn,1067
2022,2022-08-15,100,"Hewes St (M,J)",Brooklyn,1016
2022,2022-11-15,100,"Hewes St (M,J)",Brooklyn,1051
2023,2023-02-15,100,"Hewes St (M,J)",Brooklyn,1034
2023,2023-05-15,100,"Hewes St (M,J)",Brooklyn,1063
2023,2023-08-15,100,"Hewes St (M,J)",Brooklyn,981
2023,2023-11-15,100,"Hewes St (M,J)",Brooklyn,1054
2024,2024-02-15,100,"Hewes St (M,J)",Brooklyn,1107
2024,2024-05-15,100,"Hewes St (M,J)",Brooklyn,1075
2024,2024-08-15,100,"Hewes St (M,J)",Brooklyn,1027
2024,2024-11-15,100,"Hewes St (M,J)",Brooklyn,1225
2020,2020-02-15,101,"Marcy Av (M,J,Z)",Brooklyn,1061
2020,2020-05-15,101,"Marcy Av (M,J,Z)",Brooklyn,907
2020,2020-08-15,101,"Marcy Av (M,J,Z)",Brooklyn,861
2020,2020-11-15,101,"Marcy Av (M,J,Z)",Brooklyn,962
2021,2021-02-15,101,"Marcy Av (M,J,Z)",Brooklyn,1034
2021,2021-05-15,101,"Marcy Av (M,J,Z)",Brooklyn,892
2021,2021-08-15,101,"Marcy Av (M,J,Z)",Brooklyn,1170
2021,2021-11-15,101,"Marcy Av (M,J,Z)",Brooklyn,1181
2022,2022-02-15,101,"Marcy Av (M,J,Z)",Brooklyn,1203
2022,2022-05-15,101,"Marcy Av (M,J,Z)",Brooklyn,1208
2022,2022-08-15,101,"Marcy Av (M,J,Z)",Brooklyn,1190
2022,2022-11-15,101,"Marcy Av (M,J,Z)",Brooklyn,1200
2023,2023-02-15,101,"Marcy Av (M,J,Z)",Brooklyn,1211
2023,2023-05-15,101,"Marcy Av (M,J,Z)",Brooklyn,1256
2023,2023-08-15,101,"Marcy Av (M,J,Z)",Brooklyn,1237
2023,2023-11-15,101,"Marcy Av (M,J,Z)",Brooklyn,1267
2024,2024-02-15,101,"Marcy Av (M,J,Z)",Brooklyn,832
2024,2024-05-15,101,"Marcy Av (M,J,Z)",Brooklyn,1267
2024,2024-08-15,101,"Marcy Av (M,J,Z)",Brooklyn,1244
2024,2024-11-15,101,"Marcy Av (M,J,Z)",Brooklyn,1047
2020,2020-02-15,103,"Bowery (J,Z)",Manhattan,955
2020,2020-05-15,103,"Bowery (J,Z)",Manhattan,540
2020,2020-08-15,103,"Bowery (J,Z)",Manhattan,746
2020,2020-11-15,103,"Bowery (J,Z)",Manhattan,757
2021,2021-02-15,103,"Bowery (J,Z)",Manhattan,810
2021,2021-05-15,103,"Bowery (J,Z)",Manhattan,701
2021,2021-08-15,103,"Bowery (J,Z)",Manhattan,989
2021,2021-11-15,103,"Bowery (J,Z)",Manhattan,1068
2022,2022-02-15,103,"Bowery (J,Z)",Manhattan,1053
2022,2022-05-15,103,"Bowery (J,Z)",Manhattan,791
2022,2022-08-15,103,"Bowery (J,Z)",Manhattan,1038
2022,2022-11-15,103,"Bowery (J,Z)",Manhattan,1073
2023,2023-02-15,103,"Bowery (J,Z)",Manhattan,1057
2023,2023-05-15,103,"Bowery (J,Z)",Manhattan,956
2023,2023-08-15,103,"Bowery (J,Z)",Manhattan,1058
2023,2023-11-15,103,"Bowery (J,Z)",Manhattan,781
2024,2024-02-15,103,"Bowery (J,Z)",Manhattan,612
2024,2024-05-15,103,"Bowery (J,Z)",Manhattan,1099
2024,2024-08-15,103,"Bowery (J,Z)",Manhattan,1069
2024,2024-11-15,103,"Bowery (J,Z)",Manhattan,800
2020,2020-02-15,107,"Broad St (J,Z)",Manhattan,916
2020,2020-05-15,107,"Broad St (J,Z)",Manhattan,629
2020,2020-08-15,107,"Broad St (J,Z)",Manhattan,787
2020,2020-11-15,107,"Broad St (J,Z)",Manhattan,823
2021,2021-02-15,107,"Broad St (J,Z)",Manhattan,859
2021,2021-05-15,107,"Broad St (J,Z)",Manhattan,740
2021,2021-08-15,107,"Broad St (J,Z)",Manhattan,1009
2021,2021-11-15,107,"Broad St (J,Z)",Manhattan,1034
2022,2022-02-15,107,"Broad St (J,Z)",Manhattan,1047
2022,2022-05-15,107,"Broad St (J,Z)",Manhattan,792
2022,2022-08-15,107,"Broad St (J,Z)",Manhattan,997
2022,2022-11-15,107,"Broad St (J,Z)",Manhattan,1063
2023,2023-02-15,107,"Broad St (J,Z)",Manhattan,1052
2023,2023-05-15,107,"Broad St (J,Z)",Manhattan,965
2023,2023-08-15,107,"Broad St (J,Z)",Manhattan,1060
2023,2023-11-15,107,"Broad St (J,Z)",Manhattan,815
2024,2024-02-15,107,"Broad St (J,Z)",Manhattan,666
2024,2024-05-15,107,"Broad St (J,Z)",Manhattan,1106
2024,2024-08-15,107,"Broad St (J,Z)",Manhattan,1041
2024,2024-11-15,107,"Broad St (J,Z)",Manhattan,907
2020,2020-02-15,108,Middle Village-Metropolitan Av (M),Queens,928
2020,2020-05-15,108,Middle Village-Metropolitan Av (M),Queens,709
2020,2020-08-15,108,Middle Village-Metropolitan Av (M),Queens,745
2020,2020-11-15,108,Middle Village-Metropolitan Av (M),Queens,859
2021,2021-02-15,108,Middle Village-Metropolitan Av (M),Queens,923
2021,2021-05-15,108,Middle Village-Metropolitan Av (M),Queens,1043
2021,2021-08-15,108,Middle Village-Metropolitan Av (M),Queens,828
2021,2021-11-15,108,Middle Village-Metropolitan Av (M),Queens,1055
2022,2022-02-15,108,Middle Village-Metropolitan Av (M),Queens,1052
2022,2022-05-15,108,Middle Village-Metropolitan Av (M),Queens,1079
2022,2022-08-15,108,Middle Village-Metropolitan Av (M),Queens,1081
2022,2022-11-15,108,Middle Village-Metropolitan Av (M),Queens,1085
2023,2023-02-15,108,Middle Village-Metropolitan Av (M),Queens,1085
2023,2023-05-15,108,Middle Village-Metropolitan Av (M),Queens,802
2023,2023-08-15,108,Middle Village-Metropolitan Av (M),Queens,1085
2023,2023-11-15,108,Middle Village-Metropolitan Av (M),Queens,1101
2024,2024-02-15,108,Middle Village-Metropolitan Av (M),Queens,1095
2024,2024-05-15,108,Middle Village-Metropolitan Av (M),Queens,1141
2024,2024-08-15,108,Middle Village-Metropolitan Av (M),Queens,1110
2024,2024-11-15,108,Middle Village-Metropolitan Av (M),Queens,1251
2020,2020-02-15,109,Fresh Pond Rd (M),Queens,972
2020,2020-05-15,109,Fresh Pond Rd (M),Queens,762
2020,2020-08-15,109,Fresh Pond Rd (M),Queens,778
2020,2020-11-15,109,Fresh Pond Rd (M),Queens,856
2021,2021-02-15,109,Fresh Pond Rd (M),Queens,934
2021,2021-05-15,109,Fresh Pond Rd (M),Queens,1055
2021,2021-08-15,109,Fresh Pond Rd (M),Queens,817
2021,2021-11-15,109,Fresh Pond Rd (M),Queens,1081
2022,2022-02-15,109,Fresh Pond Rd (M),Queens,1077
2022,2022-05-15,109,Fresh Pond Rd (M),Queens,1115
2022,2022-08-15,109,Fresh Pond Rd (M),Queens,1083
2022,2022-11-15,109,Fresh Pond Rd (M),Queens,1108
2023,2023-02-15,109,Fresh Pond Rd (M),Queens,1100
2023,2023-05-15,109,Fresh Pond Rd (M),Queens,834
2023,2023-08-15,109,Fresh Pond Rd (M),Queens,1095
2023,2023-11-15,109,Fresh Pond Rd (M),Queens,1119
2024,2024-02-15,109,Fresh Pond Rd (M),Queens,1113
2024,2024-05-15,109,Fresh Pond Rd (M),Queens,1135
2024,2024-08-15,109,Fresh Pond Rd (M),Queens,1110
2024,2024-11-15,109,Fresh Pond Rd (M),Queens,1246
2020,2020-02-15,110,Forest Av (M),Queens,924
2020,2020-05-15,110,Forest Av (M),Queens,585
2020,2020-08-15,110,Forest Av (M),Queens,671
2020,2020-11-15,110,Forest Av (M),Queens,787
2021,2021-02-15,110,Forest Av (M),Queens,854
2021,2021-05-15,110,Forest Av (M),Queens,960
2021,2021-08-15,110,Forest Av (M),Queens,742
2021,2021-11-15,110,Forest Av (M),Queens,1024
2022,2022-02-15,110,Forest Av (M),Queens,1013
2022,2022-05-15,110,Forest Av (M),Queens,1035
2022,2022-08-15,110,Forest Av (M),Queens,1011
2022,2022-11-15,110,Forest Av (M),Queens,1039
2023,2023-02-15,110,Forest Av (M),Queens,1026
2023,2023-05-15,110,Forest Av (M),Queens,753
2023,2023-08-15,110,Forest Av (M),Queens,1013
2023,2023-11-15,110,Forest Av (M),Queens,1038
2024,2024-02-15,110,Forest Av (M),Queens,1028
2024,2024-05-15,110,Forest Av (M),Queens,1075
2024,2024-08-15,110,Forest Av (M),Queens,1010
2024,2024-11-15,110,Forest Av (M),Queens,1166
2020,2020-02-15,111,Seneca Av (M),Queens,929
2020,2020-05-15,111,Seneca Av (M),Queens,588
2020,2020-08-15,111,Seneca Av (M),Queens,665
2020,2020-11-15,111,Seneca Av (M),Queens,767
2021,2021-02-15,111,Seneca Av (M),Queens,804
2021,2021-05-15,111,Seneca Av (M),Queens,899
2021,2021-08-15,111,Seneca Av (M),Queens,741
2021,2021-11-15,111,Seneca Av (M),Queens,985
2022,2022-02-15,111,Seneca Av (M),Queens,973
2022,2022-05-15,111,Seneca Av (M),Queens,986
2022,2022-08-15,111,Seneca Av (M),Queens,980
2022,2022-11-15,111,Seneca Av (M),Queens,883
2023,2023-02-15,111,Seneca Av (M),Queens,980
2023,2023-05-15,111,Seneca Av (M),Queens,745
2023,2023-08-15,111,Seneca Av (M),Queens,983
2023,2023-11-15,111,Seneca Av (M),Queens,994
2024,2024-02-15,111,Seneca Av (M),Queens,981
2024,2024-05-15,111,Seneca Av (M),Queens,1025
2024,2024-08-15,111,Seneca Av (M),Queens,967
2024,2024-11-15,111,Seneca Av (M),Queens,1056
2020,2020-02-15,113,Knickerbocker Av (M),Brooklyn,973
2020,2020-05-15,113,Knickerbocker Av (M),Brooklyn,667
2020,2020-08-15,113,Knickerbocker Av (M),Brooklyn,706
2020,2020-11-15,113,Knickerbocker Av (M),Brooklyn,799
2021,2021-02-15,113,Knickerbocker Av (M),Brooklyn,861
2021,2021-05-15,113,Knickerbocker Av (M),Brooklyn,968
2021,2021-08-15,113,Knickerbocker Av (M),Brooklyn,790
2021,2021-11-15,113,Knickerbocker Av (M),Brooklyn,1053
2022,2022-02-15,113,Knickerbocker Av (M),Brooklyn,1016
2022,2022-05-15,113,Knickerbocker Av (M),Brooklyn,1047
2022,2022-08-15,113,Knickerbocker Av (M),Brooklyn,1027
2022,2022-11-15,113,Knickerbocker Av (M),Brooklyn,1065
2023,2023-02-15,113,Knickerbocker Av (M),Brooklyn,1037
2023,2023-05-15,113,Knickerbocker Av (M),Brooklyn,773
2023,2023-08-15,113,Knickerbocker Av (M),Brooklyn,1036
