station_complex_id,station_complex,borough,transit_mode,latitude,longitude
1,"Astoria-Ditmars Blvd (N,W)",Queens,subway,40.775036,-73.912030
10,"49 St (N,R,W)",Manhattan,subway,40.759900,-73.984140
100,"Hewes St (M,J)",Brooklyn,subway,40.706870,-73.953430
101,"Marcy Av (M,J,Z)",Brooklyn,subway,40.708360,-73.957756
103,"Bowery (J,Z)",Manhattan,subway,40.720280,-73.993910
107,"Broad St (J,Z)",Manhattan,subway,40.706474,-74.011055
108,Middle Village-Metropolitan Av (M),Queens,subway,40.711395,-73.889600
109,Fresh Pond Rd (M),Queens,subway,40.706184,-73.895874
110,Forest Av (M),Queens,subway,40.704422,-73.903076
111,Seneca Av (M),Queens,subway,40.702763,-73.907740
113,Knickerbocker Av (M),Brooklyn,subway,40.698666,-73.919710
114,Central Av (M),Brooklyn,subway,40.697857,-73.927400
118,3 Av (L),Manhattan,subway,40.732850,-73.986120
119,1 Av (L),Manhattan,subway,40.730953,-73.981630
120,Bedford Av (L),Brooklyn,subway,40.717304,-73.956870
122,Graham Av (L),Brooklyn,subway,40.714565,-73.944050
123,Grand St (L),Brooklyn,subway,40.711926,-73.940670
124,Montrose Av (L),Brooklyn,subway,40.707740,-73.939850
125,Morgan Av (L),Brooklyn,subway,40.706154,-73.933140
126,Jefferson St (L),Brooklyn,subway,40.706608,-73.922910
127,DeKalb Av (L),Brooklyn,subway,40.703810,-73.918430
129,Halsey St (L),Queens,subway,40.695602,-73.904080
13,"28 St (R,W)",Manhattan,subway,40.745495,-73.988690
130,Wilson Av (L),Brooklyn,subway,40.688763,-73.904045
131,Bushwick Av-Aberdeen St (L),Brooklyn,subway,40.682830,-73.905250
133,Atlantic Av (L),Brooklyn,subway,40.675346,-73.903100
134,Sutter Av (L),Brooklyn,subway,40.669370,-73.901980
135,Livonia Av (L),Brooklyn,subway,40.664040,-73.900570
136,New Lots Av (L),Brooklyn,subway,40.658733,-73.899230
137,East 105 St (L),Brooklyn,subway,40.650574,-73.899480
138,Canarsie-Rockaway Pkwy (L),Brooklyn,subway,40.646652,-73.901850
14,"23 St (R,W)",Manhattan,subway,40.741302,-73.989340
141,Park Pl (S),Brooklyn,subway,40.674770,-73.957630
143,Inwood-207 St (A),Manhattan,subway,40.868073,-73.919900
144,Dyckman St (A),Manhattan,subway,40.865490,-73.927270
145,190 St (A),Manhattan,subway,40.859020,-73.934180
146,181 St (A),Manhattan,subway,40.851696,-73.937965
